,Text,Sentiment
0,Text,Sentiment
1,"Kickers watchlist XIDE TIT SOQ PNK CPW BPZ AJ trade method 1 method 2 , see prev post",1
2,user : AAP MOVIE. 55 % return FEA/GEED indicator 15 trade year. AWESOME .,1
3,user I 'd afraid short AMZN - look like near-monopoly eBooks infrastructure-as-a-service,1
4,MNTA Over 12.00,1
5,OI Over 21.37,1
6,PGNX Over 3.04,1
7,AAP - user current downtrend break. Otherwise short-term correction med-term downtrend .,-1
8,Monday 's relative weakness. NYX WIN TIE TAP ICE INT BMC AON C CHK BIIB,-1
9,GOOG - ower trend line channel test & volume support .,1
10,AAP watch tomorrow ONG entry .,1
11,'m assume FCX open tomorrow 34.25 trigger buy. still much like setup .,1
12,"It really worry everyone expect market rally , usually exact opposite happens every time shall see soon bac spx jpm",1
13,AAP GAMCO 's arry Haverty : Apple Is Extremely Cheap Great Video ! ! !,1
14,user Maykiljil post that. I agree MSFT go high & possibly north 30,1
15,Momentum come back ETFC Broke MA200 resistance solid volume Friday. ong set-up,1
16,HA Hitting 35.65 mean resume target 42 level ..,1
17,user gameplan shot today I like trend break May c+h break. OC weekly trend break back july 2011,1
18,FCX gap well ideal entry look pull least 35 open entry,1
19,"user great list , particularly like FISV SYK. All buy & hold type check free list .",1
20,ATHX upper trend line,1
21,NG - nice PNF BY - breakout - need follow thru,1
22,Wo n't believe AAP uptrend back cross MA ( 50 ),-1
23,X swing still,1
24,SWY - 30 % float short break - ouch,1
25,BIOF want 4.90 's comin ! ! !,1
26,VS invert head shoulder play well. Was n't able catch entry. Eyes,1
27,"red , ready break .",-1
28,EI close break now. My trigger 30.40 .,1
29,user BAC For quick Trade late..But invest ~11.98 good entry point IMHO,1
30,"CHDN - ong 49.02. Trailing Stop 56.66 6 prior Stops 54.17 , 49.88 , 49.82 , 45.47 , 43.02 & 41.92 -",1
31,AAP VOME today impressive. At rate well probably get 30M share trade today .,1
32,"user : add VXY long bottom today trade , also get WPI near low",-1
33,"I repeat , global economy go get good year go C instead BAC",1
34,GOOG go ONG close 725 .,1
35,NKD look like good short. Failed break price level resistance 116 today .,-1
36,GS like price action. So far hold 130. Still decide whether go ONG call stock .,1
37,SBX buy clear resistance 54.5,1
38,NEW target AAP notice shakeout read -8.49 ! buy dot Monday,1
39,Too early short move. Stock Market need day settle down. # Patience COH BWD DT AAP PAY,-1
