,Topic,Sentiment,TweetId,TweetDate,TweetText
0,Topic,Sentiment,TweetId,TweetDate,TweetText
1,apple,positive,126415614616154112,Tue Oct 18 21:53:25 +0000 2011,Now Apple get swype iphone crack. Iphone
2,apple,positive,126404574230740992,Tue Oct 18 21:09:33 +0000 2011,Apple add carrier support iPhone 4S ( announce )
3,apple,positive,126402758403305474,Tue Oct 18 21:02:20 +0000 2011,Hilarious youtube video - guy duet apple 's Siri. Pretty much sum love affair ! http : //t.co/8ExbnQjY
4,apple,positive,126397179614068736,Tue Oct 18 20:40:10 +0000 2011,RIM make easy switch Apple iPhone. See ya !
5,apple,positive,126395626979196928,Tue Oct 18 20:34:00 +0000 2011,I realize reason I get twitter ios5 thanks apple
6,apple,positive,126394830791254016,Tue Oct 18 20:30:50 +0000 2011,"I 'm current Blackberry user , little bit disappointed ! Should I move Android Apple iphone"
7,apple,positive,126379685453119488,Tue Oct 18 19:30:39 +0000 2011,The 16 strange thing Siri say far. I SOOO glad Apple give Siri sense humor ! http : //t.co/TWAeUDBp via HappyPlace
8,apple,positive,126377656416612353,Tue Oct 18 19:22:35 +0000 2011,Great close & personal event Apple tonight Regent St store !
9,apple,positive,126373779483004928,Tue Oct 18 19:07:11 +0000 2011,From company experience best customer service aside zappos apple ?
10,apple,positive,126366353757179904,Tue Oct 18 18:37:41 +0000 2011,"Just apply job Apple , hope call lol"
11,apple,positive,126366123368267776,Tue Oct 18 18:36:46 +0000 2011,RT JamaicanIdler : Lmao I think apple onto something magical ! I DYING ! ! ! haha. Siri suggest find whore h ...
12,apple,positive,126365858481188864,Tue Oct 18 18:35:43 +0000 2011,Lmao I think apple onto something magical ! I DYING ! ! ! haha. Siri suggest find whore hide body lolol
13,apple,positive,126360935509135362,Tue Oct 18 18:16:09 +0000 2011,"RT PhillipRowntree : Just register apple developer ... Here 's hop I actually ... Any help , greatly appreciate !"
14,apple,positive,126360398885687296,Tue Oct 18 18:14:01 +0000 2011,Wow. Great deal refurbed # iPad ( first gen ) models. RT : Apple offer great deal refurbish 1st-gen iPads http : //t.co/ukWOKBGd Apple
15,apple,positive,126358340220616704,Tue Oct 18 18:05:50 +0000 2011,"Just register apple developer ... Here 's hop I actually ... Any help , greatly appreciate !"
16,apple,positive,126357982685569024,Tue Oct 18 18:04:25 +0000 2011,ä½ å¥½ ! Currently learn Mandarin upcoming trip Hong Kong. I get ta hand Apple iPhones & uber useful flashcard apps îî
17,apple,positive,126352268705538048,Tue Oct 18 17:41:43 +0000 2011,"Come dark side ð±â gretcheneclark : Hey apple , send free iPhone , I publicly ceremoniously burn # BlackBerry.â"
18,apple,positive,126350302113824769,Tue Oct 18 17:33:54 +0000 2011,"Hey apple , send free iPhone ( version ) , I publicly ceremoniously burn # BlackBerry ."
19,apple,positive,126349695676203009,Tue Oct 18 17:31:29 +0000 2011,Thank apple Find My Mac - locate wipe steal Air. # smallvictory # thievingbastards
20,apple,positive,126342268603998208,Tue Oct 18 17:01:58 +0000 2011,"Thanks Apple Covent Garden # GeniusBar replace MacBook keyboard/cracked wristpad lunch break today , warranty ."
21,apple,positive,126325800080392193,Tue Oct 18 15:56:32 +0000 2011,DailyDealChat apple Thanks ! !
22,apple,positive,126324177501302784,Tue Oct 18 15:50:05 +0000 2011,iPads Replace Bound Playbooks Some N.F.L. Teams http : //t.co/2UXAWKwf apple nytimes
23,apple,positive,126323785145126912,Tue Oct 18 15:48:32 +0000 2011,apple..good ipad
24,apple,positive,126322063332999169,Tue Oct 18 15:41:41 +0000 2011,apple siri efffing amazing ! !
25,apple,positive,126319186141130752,Tue Oct 18 15:30:15 +0000 2011,Amazing new Apple iOs 5 feature. http : //t.co/jatFVfpM
26,apple,positive,126318009647235072,Tue Oct 18 15:25:35 +0000 2011,"RT TripLingo : We 're one `` Featured Education Apps '' Apple **Website** today , sweet ! http : //t.co/0yWvbe1Z"
27,apple,positive,126315223060709376,Tue Oct 18 15:14:30 +0000 2011,"We 're one `` Featured Education Apps '' Apple **Website** today , sweet ! http : //t.co/0yWvbe1Z"
28,apple,positive,126315011600678913,Tue Oct 18 15:13:40 +0000 2011,"When want something do right , ... go Apple. AT & T 're useless days. # yourdaysarenumbered ï£¿ï£¿ï£¿"
29,apple,positive,126314687116750849,Tue Oct 18 15:12:22 +0000 2011,We unexpected workshop # iPhone4S apple yesterday get awesome amount info # notjustaboutthephone gamerchik16
30,apple,positive,126312877916307458,Tue Oct 18 15:05:11 +0000 2011,& lt ; 3 # ios5 apple
31,apple,positive,126311981564178432,Tue Oct 18 15:01:37 +0000 2011,-- -Â» RT Apple No question bro. RT AintEeenTrippin : Should I get dis iPhone EVO 3D ?
32,apple,positive,126307801046847488,Tue Oct 18 14:45:01 +0000 2011,RT imightbewrong : I 'm OVER people bitch # iPhone4S ... I think 's smart phone I 've ever I 'm happy. : ...
33,apple,positive,126302673820594176,Tue Oct 18 14:24:38 +0000 2011,I 'm OVER people bitch # iPhone4S ... I think 's smart phone I 've ever I 'm happy. : ) Way go Apple !
34,apple,positive,126301956951117826,Tue Oct 18 14:21:47 +0000 2011,Twitter CEO point Apple 'corporate mentor ' iOS signups triple http : //t.co/GCY8iphN
35,apple,positive,126287654093471745,Tue Oct 18 13:24:57 +0000 2011,At bus iPhone ; ) thxx apple
36,apple,positive,126284506360578049,Tue Oct 18 13:12:27 +0000 2011,"azee1v1 apple umber AppStore well do , iTunes mobile devices. I talk desktop app ."
37,apple,positive,126263834968211456,Tue Oct 18 11:50:18 +0000 2011,NYTimes : Coach Wants See You. And Bring Your iPad. http : //t.co/J2FTiEnG # iPad apple set red 42 red 42 hut hut NFL wish I # iPad
38,apple,positive,126256230397259776,Tue Oct 18 11:20:05 +0000 2011,apple jilive DanielPink : Apple sell 4 million iPhone 4S unit first weekend ... Steve Jobs brilliance live ever ! # iphone # RVA
39,apple,positive,126213333123743744,Tue Oct 18 08:29:38 +0000 2011,blackberry like # Titanic seem everyone run apple # iPhone life raft wo n't enough everyone !
40,apple,positive,126195522691280896,Tue Oct 18 07:18:51 +0000 2011,bkad5161 apologize apple ; )
41,apple,positive,126183339945234432,Tue Oct 18 06:30:27 +0000 2011,Apple download iOS 5 prove popular user -- http : //t.co/NSHLfiUX
42,apple,positive,126180209501286400,Tue Oct 18 06:18:01 +0000 2011,Lmfao look argument I Siri ! ! ijustine apple http : //t.co/D4VjL7SI
43,apple,positive,126164430546403328,Tue Oct 18 05:15:18 +0000 2011,Incredible : 4 million iPhone 4Ss 3 days. 135 % good iPhone 4 http : //t.co/1FMJxTMM apple # iphone4s
44,apple,positive,126148685737361408,Tue Oct 18 04:12:45 +0000 2011,Save # HP 's unwanted OS ! Help buy # iPhone ! I see light ! # lol http : //t.co/8gUP9Acz # backchannel apple
45,apple,positive,126140794078892033,Tue Oct 18 03:41:23 +0000 2011,Well apple fixed # ios5 battery drain problem replacement iPhone 4 -- 's work like champ
46,apple,positive,126134400466419712,Tue Oct 18 03:15:59 +0000 2011,Currently order BRAND NEW MACBOOK PRO ! ! ! Bahhh ... MacBook 5 year old. I 'll miss it. But 's time. cc : Apple -
47,apple,positive,126130991365500928,Tue Oct 18 03:02:26 +0000 2011,blessed. apple
48,apple,positive,126116898051076096,Tue Oct 18 02:06:26 +0000 2011,"# Siri know dad , mom , brother girlfriend is. Thanks apple"
49,apple,positive,126116614495154176,Tue Oct 18 02:05:18 +0000 2011,Well least apple store amaze call wait music ! # need4s
50,apple,positive,126112836219973632,Tue Oct 18 01:50:17 +0000 2011,# sweet ... # apple replace glass # probono. thank apple
51,apple,positive,126107965991297024,Tue Oct 18 01:30:56 +0000 2011,Not Bad ! Apple Sells Over 4 Million # IPhones Debut Weekend - Bloomberg http : //t.co/AVSl3ygU - # smartphone # sm RT VinodRad
52,apple,positive,126104732426186752,Tue Oct 18 01:18:05 +0000 2011,"love new technology apple iPhone 4 , mac air iCloud unreal # technology"
53,apple,positive,126097426493878272,Tue Oct 18 00:49:03 +0000 2011,I 'm love new IOS5 update : ) apple
54,apple,positive,126095744531832832,Tue Oct 18 00:42:22 +0000 2011,Another mention Apple Store : http : //t.co/fiIOApKt - RT floridamike Once get great customer service apple store ...
55,apple,positive,126084907343691776,Mon Oct 17 23:59:19 +0000 2011,Time go get iPhone 4s. Looking forward stick man longer pay texts. Thanks apple .
56,apple,positive,126079414986485761,Mon Oct 17 23:37:29 +0000 2011,hey apple I hate computer need # mack wan na send free one .
57,apple,positive,126076743613284354,Mon Oct 17 23:26:52 +0000 2011,Thank apple. My new gf ( iphone4s ) great ! She everything !
58,apple,positive,126076238375817216,Mon Oct 17 23:24:52 +0000 2011,# iCloud set flawless work like champ ! To Cloud Apple
59,apple,positive,126075534894571520,Mon Oct 17 23:22:04 +0000 2011,Wisconsin_Mommy Apple I 'd totally email company ... I always get great service Apple store !
60,apple,positive,126064519943426048,Mon Oct 17 22:38:18 +0000 2011,apple love new IOS5 upgrade iPhone !
61,apple,positive,126063569660936193,Mon Oct 17 22:34:31 +0000 2011,The nice apple tech support guy fix iTouch =D
62,apple,positive,126063358037340161,Mon Oct 17 22:33:41 +0000 2011,Once get great customer service apple store millenia mall .
63,apple,positive,126059405941809152,Mon Oct 17 22:17:59 +0000 2011,Is # iOS5 faster iPad ? apple
64,apple,positive,126059399319003136,Mon Oct 17 22:17:57 +0000 2011,I love apple imac even though I n't see hubby 3 day ! # geek
65,apple,positive,126057030996852737,Mon Oct 17 22:08:32 +0000 2011,make switch Android Apple # iphone # iphone4S # smartphone # stevejobs ( Apple Store ) http : //t.co/kj6pJvkH
66,apple,positive,126049183865114624,Mon Oct 17 21:37:21 +0000 2011,So THANKFUL incredible people apple go beyond offer replace water-damaged Macbook Pro ! ! ! Wow !
67,apple,positive,126040352237961217,Mon Oct 17 21:02:16 +0000 2011,New macbook sick apple
68,apple,positive,126040074595999746,Mon Oct 17 21:01:10 +0000 2011,Play man. Loving camera # iphone4s. Well do apple # fb http : //t.co/tmdFqRe1
69,apple,positive,126034495991328768,Mon Oct 17 20:39:00 +0000 2011,So yeah ... apple # iOS5 # readinglists change life. # nowicanspendevenmoretimeonmyphone .
70,apple,positive,126026756623831041,Mon Oct 17 20:08:14 +0000 2011,Apple Safari Reader own worldwide web
71,apple,positive,126019393460244481,Mon Oct 17 19:38:59 +0000 2011,I love apple service . My case crack 3x I go hand case I walk
72,apple,positive,126015087386431488,Mon Oct 17 19:21:52 +0000 2011,# 10twitterpeopleiwouldliketomeet coollike TheGadgetShow thelittleappkid Jon4Lakers BenRubery Apple twitter FXhomeHitFilm ( -2 )
73,apple,positive,126009748020658177,Mon Oct 17 19:00:39 +0000 2011,Said lay next 4 year apple.Jobs last iPhone 2012 iPhone4S. iPhone ( 4G/5 ) 2012 magical ! http : //t.co/DxxklUBp
74,apple,positive,126008369562652672,Mon Oct 17 18:55:11 +0000 2011,"Kind excited. On way last class right go Apple store , buy # MacOSC Snow Leopard Lion : - )"
75,apple,positive,126002597063696384,Mon Oct 17 18:32:14 +0000 2011,use blackberry 4-5yrs .. disruption lose gig thx service im move apple # iphone
76,apple,positive,125999676972470272,Mon Oct 17 18:20:38 +0000 2011,"Apple sell 4 million iPhones 3 day apple keep , well ! http : //t.co/ZZc6bE0w"
77,apple,positive,125995158679461888,Mon Oct 17 18:02:41 +0000 2011,Yessss ! I 'm lovin iPhone update especially slide bar top screen = ) good job Apple .
78,apple,positive,125978568726560768,Mon Oct 17 16:56:46 +0000 2011,"4 million weekend , 16 # iPhone4S per second. This madness ? ! , Apple ! ! !"
79,apple,positive,125974505385500672,Mon Oct 17 16:40:37 +0000 2011,. apple get me. I 'm invested. MacBook Pro next year. Time get sell # android gear
80,apple,positive,125960325437722624,Mon Oct 17 15:44:16 +0000 2011,iancollinsuk apple I like ... !
81,apple,positive,125959059957485569,Mon Oct 17 15:39:14 +0000 2011,I send grandma post card use # CardsApp thanks Apple
82,apple,positive,125947912306954240,Mon Oct 17 14:54:56 +0000 2011,KostaTsetsekas apple Putting wash kind equivalent `` Will blend ? '' Glad hear 's still alive .
83,apple,positive,125947232359948288,Mon Oct 17 14:52:14 +0000 2011,Laundering Ari 's iPhone fine moment. But dry bag ( organic : - ) rice 4 day boot ! ! ! ! ! ! ! ! ! ! ! apple
84,apple,positive,125943290288803841,Mon Oct 17 14:36:34 +0000 2011,"Bravo , Apple ! http : //t.co/BgoTzj7K"
85,apple,positive,125940394566483968,Mon Oct 17 14:25:04 +0000 2011,"God Bless YouTube , apple # appletv & bad as system. LOVING # PrincessOfChina. GB coldplay & rihanna : )"
86,apple,positive,125925618486489088,Mon Oct 17 13:26:21 +0000 2011,Been twitter day I smash iPhone apple nice give new one : )
87,apple,positive,125924446430183425,Mon Oct 17 13:21:42 +0000 2011,Thank Apple iOS 5 email pop lock screen open unlocking .
88,apple,positive,125922999651139584,Mon Oct 17 13:15:57 +0000 2011,One word - # wow. RT jldavid iPhone 4S First Weekend Sales Top Four Million : http : //t.co/Zx5Pw0GT ( via apple )
89,apple,positive,125909565031198720,Mon Oct 17 12:22:34 +0000 2011,This good iPhone VERY well today. Thanks god apple .
90,apple,positive,125902301931126785,Mon Oct 17 11:53:42 +0000 2011,RT MN2NOVA : Love ios5 Easter eggs. Pull middle top bottom see pull down. Awesome little feature ! # ios5 apple
91,apple,positive,125901202591461376,Mon Oct 17 11:49:20 +0000 2011,Love ios5 Easter eggs. Pull middle top bottom see pull down. Awesome little feature ! # ios5 apple
92,apple,positive,125900497327636480,Mon Oct 17 11:46:32 +0000 2011,Love # ios5 Easter eggs. Pull middle top bottom see pull down. Awesome little feature ! apple # lovemyiphone
93,apple,positive,125898611572740097,Mon Oct 17 11:39:02 +0000 2011,Updated iOS start use cloud services. Pretty bad as apple # iPhone 3GS still champ .
94,apple,positive,125850288488841217,Mon Oct 17 08:27:01 +0000 2011,"Gone run , beautiful morning , man I love iOS 5 apple , # iPhone"
95,apple,positive,125840039031738368,Mon Oct 17 07:46:17 +0000 2011,apple simply best .
96,apple,positive,125794931439702016,Mon Oct 17 04:47:03 +0000 2011,I must admit apple make happy camper ! I text tone ! Lol ! Ring tone : # MakeMeProud Drakes vers ! Text tone : Nicki 's
97,apple,positive,125728717942161408,Mon Oct 17 00:23:56 +0000 2011,"Day305 , I 'm thankful great customer service receive today Apple via phone CS , new phone way # 365daysofgratefulness"
98,apple,positive,125727629012770816,Mon Oct 17 00:19:37 +0000 2011,S/O apple replace phone freeî
99,apple,positive,125722746100531200,Mon Oct 17 00:00:13 +0000 2011,Loving new iPod update apple
